percentile	packet_threshold	cache_size	accuracy_lru	accuracy_expandable_lru
0.75	1000	5000	0.30612244897959184	0.30612244897959184
0.75	1000	10000	0.23300970873786409	0.23300970873786409
0.75	1000	15000	0.21153846153846154	0.21153846153846154
0.75	1000	20000	0.19230769230769232	0.19230769230769232
0.75	1500	5000	0.25	0.25
0.75	1500	10000	0.25	0.25
0.75	1500	15000	0.23809523809523808	0.23809523809523808
0.75	1500	20000	0.22857142857142856	0.22857142857142856
0.75	2000	5000	0.2641509433962264	0.2641509433962264
0.75	2000	10000	0.2761904761904762	0.2761904761904762
0.75	2000	15000	0.27884615384615385	0.27884615384615385
0.75	2000	20000	0.27884615384615385	0.27884615384615385
0.75	2500	5000	0.28846153846153844	0.28846153846153844
0.75	2500	10000	0.2912621359223301	0.2912621359223301
0.75	2500	15000	0.2815533980582524	0.2815533980582524
0.75	2500	20000	0.27184466019417475	0.27184466019417475
0.75	3000	5000	0.28846153846153844	0.28846153846153844
0.75	3000	10000	0.3137254901960784	0.3137254901960784
0.75	3000	15000	0.3106796116504854	0.3106796116504854
0.75	3000	20000	0.3106796116504854	0.3106796116504854
0.8	1000	5000	0.1518987341772152	0.1518987341772152
0.8	1000	10000	0.15286624203821655	0.15286624203821655
0.8	1000	15000	0.15286624203821655	0.15286624203821655
0.8	1000	20000	0.15384615384615385	0.15384615384615385
0.8	1500	5000	0.18238993710691823	0.18238993710691823
0.8	1500	10000	0.1962025316455696	0.1962025316455696
0.8	1500	15000	0.1949685534591195	0.1949685534591195
0.8	1500	20000	0.1949685534591195	0.1949685534591195
0.8	2000	5000	0.2085889570552147	0.2085889570552147
0.8	2000	10000	0.2236024844720497	0.2236024844720497
0.8	2000	15000	0.2236024844720497	0.2236024844720497
0.8	2000	20000	0.23125	0.23125
0.8	2500	5000	0.2484472049689441	0.2484472049689441
0.8	2500	10000	0.24375	0.24375
0.8	2500	15000	0.24528301886792453	0.24528301886792453
0.8	2500	20000	0.2468354430379747	0.2468354430379747
0.8	3000	5000	0.2721518987341772	0.2721518987341772
0.8	3000	10000	0.2948717948717949	0.2948717948717949
0.8	3000	15000	0.3137254901960784	0.3137254901960784
0.8	3000	20000	0.3137254901960784	0.3137254901960784
0.9	1000	5000	0.09531772575250837	0.09531772575250837
0.9	1000	10000	0.09531772575250837	0.09531772575250837
0.9	1000	15000	0.09547738693467336	0.09547738693467336
0.9	1000	20000	0.09547738693467336	0.09547738693467336
0.9	1500	5000	0.10114192495921696	0.10114192495921696
0.9	1500	10000	0.10032362459546926	0.10032362459546926
0.9	1500	15000	0.10144927536231885	0.10144927536231885
0.9	1500	20000	0.1008	0.1008
0.9	2000	5000	0.11550632911392406	0.11550632911392406
0.9	2000	10000	0.1167192429022082	0.1167192429022082
0.9	2000	15000	0.11616954474097331	0.11616954474097331
0.9	2000	20000	0.11755485893416928	0.11755485893416928
0.9	2500	5000	0.14037854889589904	0.14037854889589904
0.9	2500	10000	0.1410459587955626	0.1410459587955626
0.9	2500	15000	0.13629160063391443	0.13629160063391443
0.9	2500	20000	0.13694267515923567	0.13694267515923567
0.9	3000	5000	0.17455138662316477	0.17455138662316477
0.9	3000	10000	0.1837748344370861	0.1837748344370861
0.9	3000	15000	0.18561872909698995	0.18561872909698995
0.9	3000	20000	0.17725752508361203	0.17725752508361203
0.95	1000	5000	0.07352941176470588	0.07352941176470588
0.95	1000	10000	0.07357645553422905	0.07357645553422905
0.95	1000	15000	0.0736235595390525	0.0736235595390525
0.95	1000	20000	0.07367072389493914	0.07367072389493914
0.95	1500	5000	0.08032890575585072	0.08032890575585072
0.95	1500	10000	0.08196721311475409	0.08196721311475409
0.95	1500	15000	0.08228643216080402	0.08228643216080402
0.95	1500	20000	0.08610936517913262	0.08610936517913262
0.95	2000	5000	0.09637046307884856	0.09637046307884856
0.95	2000	10000	0.10489949748743718	0.10489949748743718
0.95	2000	15000	0.10950283196979232	0.10950283196979232
0.95	2000	20000	0.11132075471698114	0.11132075471698114
0.95	2500	5000	0.12256442489000628	0.12256442489000628
0.95	2500	10000	0.12303829252981795	0.12303829252981795
0.95	2500	15000	0.12783375314861462	0.12783375314861462
0.95	2500	20000	0.13354430379746834	0.13354430379746834
0.95	3000	5000	0.1449459631277813	0.1449459631277813
0.95	3000	10000	0.14713375796178343	0.14713375796178343
0.95	3000	15000	0.15025575447570333	0.15025575447570333
0.95	3000	20000	0.15108834827144688	0.15108834827144688
