percentile	packet_threshold	cache_size	accuracy_lru	accuracy_expandable_lru
0.85	1000	5000	0.34934497816593885	0.34934497816593885
0.85	1000	10000	0.28515625	0.28515625
0.85	1000	15000	0.24719101123595505	0.24719101123595505
0.85	1000	20000	0.23703703703703705	0.23703703703703705
0.85	1500	5000	0.2640845070422535	0.2640845070422535
0.85	1500	10000	0.2508591065292096	0.2508591065292096
0.85	1500	15000	0.22483221476510068	0.22483221476510068
0.85	1500	20000	0.20394736842105263	0.20394736842105263
0.85	2000	5000	0.24013157894736842	0.24013157894736842
0.85	2000	10000	0.2182410423452769	0.2182410423452769
0.85	2000	15000	0.21172638436482086	0.21172638436482086
0.85	2000	20000	0.1864951768488746	0.1864951768488746
0.85	2500	5000	0.23333333333333334	0.23333333333333334
0.85	2500	10000	0.21476510067114093	0.21476510067114093
0.85	2500	15000	0.1912751677852349	0.1912751677852349
0.85	2500	20000	0.1952054794520548	0.1952054794520548
0.85	3000	5000	0.21724137931034482	0.21724137931034482
0.85	3000	10000	0.25089605734767023	0.25089605734767023
0.85	3000	15000	0.25547445255474455	0.25547445255474455
0.85	3000	20000	0.26394052044609667	0.26394052044609667
